English_City,Value of Transactions,Number of Transactions,location_latitude,location_longitude
ABHA,5284379,62036,18.2164282,42.5043596
BURAIDAH,8585629,96241,26.331667,43.971667
DAMMAM,18155700,169596,26.4367824,50.1039991
HAIL,5686382,66467,26.9920987,41.4892578
JEDDAH,54909895,505363,21.5810088,39.1653612
KHOBAR,11650070,92462,26.3039999,50.1960237
MADINA,12544928,160455,25.1354363,39.162594
MAKKAH,11122572,142009,21.420847,39.826869
OTHER,100191654,1216793,25.0,45.0
RIYADH,104496608,976920,24.638916,46.7160104
TABOUK,6046489,74379,28.4012536,36.567049
