Date,Number of Transactions,Value of Transactions,English_Sector,Arabic_Sector
2016-01-31 00:00:00,1031.072,1407471.55321,Transportation,المواصلات
2016-02-29 00:00:00,1020.972,1390994.49651,Transportation,المواصلات
2016-03-31 00:00:00,1120.88,1531077.80304999,Transportation,المواصلات
2016-04-30 00:00:00,1070.849,1444012.56672,Transportation,المواصلات
2016-05-31 00:00:00,1232.427,1700633.29083999,Transportation,المواصلات
2016-06-30 00:00:00,1222.881,1809134.02102999,Transportation,المواصلات
2016-07-31 00:00:00,986.692,1350244.68915,Transportation,المواصلات
2016-08-31 00:00:00,1255.831,1765493.73646999,Transportation,المواصلات
2016-09-30 00:00:00,957.026,1144742.49468,Transportation,المواصلات
2016-10-31 00:00:00,1155.873,1340019.01296,Transportation,المواصلات
2016-11-30 00:00:00,1162.162,1317730.36503,Transportation,المواصلات
2016-12-31 00:00:00,1179.985,1364873.2333399998,Transportation,المواصلات
2017-01-31 00:00:00,1219.796,1438214.09385999,Transportation,المواصلات
2017-02-28 00:00:00,1097.122,1234039.06726,Transportation,المواصلات
2017-03-31 00:00:00,1376.043,1520568.02393999,Transportation,المواصلات
2017-04-30 00:00:00,1355.986,1435736.0286199902,Transportation,المواصلات
2017-05-31 00:00:00,1416.598,1585346.36845999,Transportation,المواصلات
2017-06-30 00:00:00,1183.787,1406979.61206,Transportation,المواصلات
2017-07-31 00:00:00,1367.582,1674537.30871,Transportation,المواصلات
2017-08-31 00:00:00,1442.724,1679047.83720999,Transportation,المواصلات
2017-09-30 00:00:00,1124.791,1133823.5504,Transportation,المواصلات
2017-10-31 00:00:00,1422.328,1478798.507,Transportation,المواصلات
2017-11-30 00:00:00,1348.743,1362277.55,Transportation,المواصلات
2017-12-31 00:00:00,1438.69,1608316.79911999,Transportation,المواصلات
2018-01-31 00:00:00,1344.055,1276285.407,Transportation,المواصلات
2018-02-28 00:00:00,1280.592,1173236.051,Transportation,المواصلات
2018-03-31 00:00:00,1565.95,1452878.102,Transportation,المواصلات
2018-04-30 00:00:00,1529.948,1428019.893,Transportation,المواصلات
2018-05-31 00:00:00,1605.617,1591663.835,Transportation,المواصلات
2018-06-30 00:00:00,1474.983,1387634.67063,Transportation,المواصلات
2018-07-31 00:00:00,1873.582,1854102.4563899902,Transportation,المواصلات
2018-08-31 00:00:00,1648.287,1408420.75048,Transportation,المواصلات
2018-09-30 00:00:00,1690.301,1391715.62174999,Transportation,المواصلات
2018-10-31 00:00:00,1834.271,1518906.13745999,Transportation,المواصلات
2018-11-30 00:00:00,1751.787,1424041.26954,Transportation,المواصلات
2018-12-31 00:00:00,1976.79,1669803.93888999,Transportation,المواصلات
2019-01-31 00:00:00,1899.077,1550703.80265999,Transportation,المواصلات
2019-02-28 00:00:00,1746.701,1389410.25634999,Transportation,المواصلات
2019-03-31 00:00:00,2086.371,1655389.90953999,Transportation,المواصلات
2019-04-30 00:00:00,2048.745,1672051.67368999,Transportation,المواصلات
2019-05-31 00:00:00,2165.553,1915379.4870999998,Transportation,المواصلات
2019-06-30 00:00:00,2142.243,1636422.86833,Transportation,المواصلات
2019-07-31 00:00:00,2588.204,2133472.61984999,Transportation,المواصلات
2019-08-31 00:00:00,2303.998,1634392.5944399901,Transportation,المواصلات
2019-09-30 00:00:00,2573.871,1879081.61300999,Transportation,المواصلات
2019-10-31 00:00:00,2788.357,1895700.35976999,Transportation,المواصلات
2019-11-30 00:00:00,2765.102,1782993.37358999,Transportation,المواصلات
2019-12-31 00:00:00,3037.424,2020525.83668999,Transportation,المواصلات
2020-01-31 00:00:00,3028.642,1924317.88362999,Transportation,المواصلات
2020-02-29 00:00:00,2985.997,1813561.3846299902,Transportation,المواصلات
2020-03-31 00:00:00,2551.894,1445158.25604999,Transportation,المواصلات
2020-04-30 00:00:00,1170.697,432091.35142,Transportation,المواصلات
2020-05-31 00:00:00,1972.944,1121251.32427,Transportation,المواصلات
2020-06-30 00:00:00,3692.958,2766397.07186,Transportation,المواصلات
2020-07-31 00:00:00,3912.342,1677233.22476999,Transportation,المواصلات
2020-08-31 00:00:00,3910.619,1700685.323,Transportation,المواصلات
2020-09-30 00:00:00,4213.741,1837171.525,Transportation,المواصلات
2020-10-31 00:00:00,4416.45,1898348.771,Transportation,المواصلات
2020-11-30 00:00:00,4444.543,1863208.77369998,Transportation,المواصلات
2020-12-31 00:00:00,4725.232,2027419.526,Transportation,المواصلات
2021-01-31 00:00:00,4740.931,1942980.72879998,Transportation,المواصلات
2021-02-28 00:00:00,4330.586,1731536.4307599799,Transportation,المواصلات
2021-03-31 00:00:00,5406.659,2127864.42155998,Transportation,المواصلات
2021-04-30 00:00:00,4992.253,1987775.808,Transportation,المواصلات
2021-05-31 00:00:00,5429.624,2040482.64735997,Transportation,المواصلات
2021-06-30 00:00:00,5935.958,2335153.81143997,Transportation,المواصلات
2021-07-31 00:00:00,5996.572,2073718.31555997,Transportation,المواصلات
2021-08-31 00:00:00,6491.358,2354779.42015997,Transportation,المواصلات
2021-09-30 00:00:00,6447.636,2246921.946,Transportation,المواصلات
2016-01-31 00:00:00,6088.041,1325150.5751099999,Health,الصحة
2016-02-29 00:00:00,6381.794,1343572.1888,Health,الصحة
2016-03-31 00:00:00,6751.88,1447611.04057,Health,الصحة
2016-04-30 00:00:00,6619.891,1388207.32078,Health,الصحة
2016-05-31 00:00:00,6751.079,1512705.14481,Health,الصحة
2016-06-30 00:00:00,6536.074,1514102.70439,Health,الصحة
2016-07-31 00:00:00,5934.12,1184949.22338,Health,الصحة
2016-08-31 00:00:00,6677.046,1486975.03546,Health,الصحة
2016-09-30 00:00:00,6210.585,1209362.9973499998,Health,الصحة
2016-10-31 00:00:00,7556.848,1457074.31322999,Health,الصحة
2016-11-30 00:00:00,7421.717,1434252.97786999,Health,الصحة
2016-12-31 00:00:00,7771.392,1466012.82518999,Health,الصحة
2017-01-31 00:00:00,7810.014,1504601.5998899902,Health,الصحة
2017-02-28 00:00:00,7197,1355667.74179999,Health,الصحة
2017-03-31 00:00:00,8820.154,1577476.98054999,Health,الصحة
2017-04-30 00:00:00,8544.055,1531392.7823999901,Health,الصحة
2017-05-31 00:00:00,8575.996,1552215.7420899898,Health,الصحة
2017-06-30 00:00:00,8024.411,1473113.00162,Health,الصحة
2017-07-31 00:00:00,8062.152,1506230.03339,Health,الصحة
2017-08-31 00:00:00,8658.46,1613452.50623,Health,الصحة
2017-09-30 00:00:00,7974.188,1361845.4727999999,Health,الصحة
2017-10-31 00:00:00,9814.568,1688109.452,Health,الصحة
2017-11-30 00:00:00,9543.534,1606679.744,Health,الصحة
2017-12-31 00:00:00,9975.985,1706516.18907999,Health,الصحة
2018-01-31 00:00:00,9752.201,1654787.481,Health,الصحة
2018-02-28 00:00:00,9630.108,1599231.487,Health,الصحة
2018-03-31 00:00:00,11194.864,1910196.055,Health,الصحة
2018-04-30 00:00:00,10616.055,1798771.703,Health,الصحة
2018-05-31 00:00:00,10319.499,1865829.548,Health,الصحة
2018-06-30 00:00:00,9802.887,1629667.7813,Health,الصحة
2018-07-31 00:00:00,10718.565,1888337.75747,Health,الصحة
2018-08-31 00:00:00,10312.167,1678499.02004999,Health,الصحة
2018-09-30 00:00:00,11077.689,1849203.8715,Health,الصحة
2018-10-31 00:00:00,11945.56,1913368.9938399899,Health,الصحة
2018-11-30 00:00:00,11726.466,1785924.11355,Health,الصحة
2018-12-31 00:00:00,12654.133,2002143.0117000001,Health,الصحة
2019-01-31 00:00:00,12614.094,1973117.29363999,Health,الصحة
2019-02-28 00:00:00,11939.223,1813683.2040799898,Health,الصحة
2019-03-31 00:00:00,14027.252,2163346.79443999,Health,الصحة
2019-04-30 00:00:00,12804.398,2009108.47987999,Health,الصحة
2019-05-31 00:00:00,13299.023,2206494.2895,Health,الصحة
2019-06-30 00:00:00,12624.781,1795911.03987,Health,الصحة
2019-07-31 00:00:00,13975.094,2189404.3294299897,Health,الصحة
2019-08-31 00:00:00,13589.78,1883641.73920999,Health,الصحة
2019-09-30 00:00:00,15053.449,2210938.58481999,Health,الصحة
2019-10-31 00:00:00,16529.532,2252452.75874,Health,الصحة
2019-11-30 00:00:00,16251.415,2148096.3337,Health,الصحة
2019-12-31 00:00:00,16979.633,2338051.33789999,Health,الصحة
2020-01-31 00:00:00,16132.182,2205324.07356999,Health,الصحة
2020-02-29 00:00:00,16652.064,2216091.4572799904,Health,الصحة
2020-03-31 00:00:00,18364.531,2195597.30565998,Health,الصحة
2020-04-30 00:00:00,13987.405,1469474.2674200002,Health,الصحة
2020-05-31 00:00:00,17195.378,1953364.15569998,Health,الصحة
2020-06-30 00:00:00,21588.123,2761310.40652,Health,الصحة
2020-07-31 00:00:00,21296.824,2899403.41520999,Health,الصحة
2020-08-31 00:00:00,20412.247,2688799.482,Health,الصحة
2020-09-30 00:00:00,20873.084,2958278.76,Health,الصحة
2020-10-31 00:00:00,21684.811,2832486.588,Health,الصحة
2020-11-30 00:00:00,20879.643,2735160.26468999,Health,الصحة
2020-12-31 00:00:00,22009.284,2891886.883,Health,الصحة
2021-01-31 00:00:00,22945.293,2846468.09995999,Health,الصحة
2021-02-28 00:00:00,19773.227,2552095.99428998,Health,الصحة
2021-03-31 00:00:00,23742.499,3086861.43869001,Health,الصحة
2021-04-30 00:00:00,22153.539,2736298.394,Health,الصحة
2021-05-31 00:00:00,24128.499,2865575.11555001,Health,الصحة
2021-06-30 00:00:00,24430.716,3153379.52048998,Health,الصحة
2021-07-31 00:00:00,24567.51,2856659.87037999,Health,الصحة
2021-08-31 00:00:00,25430.667,3079722.59443998,Health,الصحة
2021-09-30 00:00:00,24783.54,3139635.204,Health,الصحة
2016-01-31 00:00:00,5157.764,735948.846269992,Restaurants & Café,المطاعم والمقاهي
2016-02-29 00:00:00,5189.208,669091.885359992,Restaurants & Café,المطاعم والمقاهي
2016-03-31 00:00:00,5999.227,786647.72306999,Restaurants & Café,المطاعم والمقاهي
2016-04-30 00:00:00,6148.923,759616.183999993,Restaurants & Café,المطاعم والمقاهي
2016-05-31 00:00:00,6741.738,836853.4897199889,Restaurants & Café,المطاعم والمقاهي
2016-06-30 00:00:00,5044.406,683769.3952099939,Restaurants & Café,المطاعم والمقاهي
2016-07-31 00:00:00,6303.659,864329.633299993,Restaurants & Café,المطاعم والمقاهي
2016-08-31 00:00:00,7185.512,835437.2259999879,Restaurants & Café,المطاعم والمقاهي
2016-09-30 00:00:00,6838.644,794267.685789991,Restaurants & Café,المطاعم والمقاهي
