English_City,Arabic_City,Date,Number of Transactions,Value of Transactions
HAIL,حائل,"17 Jan,21  -  23 Jan,21",1236,115711
ABHA,أبها,"17 Jan,21  -  23 Jan,21",1019,91594
MAKKAH,مكة المكرمة,"17 Jan,21  -  23 Jan,21",2834,227878
BURAIDAH,بريدة,"17 Jan,21  -  23 Jan,21",2019,195754
KHOBAR,الخبر,"17 Jan,21  -  23 Jan,21",2121,284218
MADINA,المنورة,"17 Jan,21  -  23 Jan,21",3238,276959
DAMMAM,الدمام,"17 Jan,21  -  23 Jan,21",3750,439707
JEDDAH,جدة,"17 Jan,21  -  23 Jan,21",10810,1281156
RIYADH,الرياض,"17 Jan,21  -  23 Jan,21",21106,2475003
OTHER,المدن الأخرى,"17 Jan,21  -  23 Jan,21",22974,2002421
HAIL,حائل,06 Dec - 12 Dec,1353,129532
ABHA,أبها,06 Dec - 12 Dec,1124,103142
MAKKAH,مكة المكرمة,06 Dec - 12 Dec,2841,236130
BURAIDAH,بريدة,06 Dec - 12 Dec,2198,213024
KHOBAR,الخبر,06 Dec - 12 Dec,2260,299274
MADINA,المنورة,06 Dec - 12 Dec,3393,285024
DAMMAM,الدمام,06 Dec - 12 Dec,4048,462727
JEDDAH,جدة,06 Dec - 12 Dec,10938,1299914
RIYADH,الرياض,06 Dec - 12 Dec,22399,2611556
OTHER,المدن الأخرى,06 Dec - 12 Dec,24316,2199992
HAIL,حائل,"28 Mar,21  -  03 Apr,21",1934,201039
ABHA,أبها,"28 Mar,21  -  03 Apr,21",1567,160429
MAKKAH,مكة المكرمة,"28 Mar,21  -  03 Apr,21",4012,377813
BURAIDAH,بريدة,"28 Mar,21  -  03 Apr,21",2775,287580
KHOBAR,الخبر,"28 Mar,21  -  03 Apr,21",2742,393912
MADINA,المنورة,"28 Mar,21  -  03 Apr,21",4589,427326
DAMMAM,الدمام,"28 Mar,21  -  03 Apr,21",5066,613007
JEDDAH,جدة,"28 Mar,21  -  03 Apr,21",14667,1858848
RIYADH,الرياض,"28 Mar,21  -  03 Apr,21",28548,3459379
OTHER,المدن الأخرى,"28 Mar,21  -  03 Apr,21",33500,3377810
HAIL,حائل,"04 Jul,21  -  10 Jul,21",1939,154118
ABHA,أبها,"04 Jul,21  -  10 Jul,21",2262,186969
MAKKAH,مكة المكرمة,"04 Jul,21  -  10 Jul,21",4056,274617
BURAIDAH,بريدة,"04 Jul,21  -  10 Jul,21",2726,229749
KHOBAR,الخبر,"04 Jul,21  -  10 Jul,21",2625,317874
MADINA,المنورة,"04 Jul,21  -  10 Jul,21",4581,332526
DAMMAM,الدمام,"04 Jul,21  -  10 Jul,21",4754,487069
JEDDAH,جدة,"04 Jul,21  -  10 Jul,21",14954,1527437
RIYADH,الرياض,"04 Jul,21  -  10 Jul,21",28353,2900510
OTHER,المدن الأخرى,"04 Jul,21  -  10 Jul,21",36056,2778601
HAIL,حائل,"07 Feb,21  -  13 Feb,21",1429,128446
ABHA,أبها,"07 Feb,21  -  13 Feb,21",1108,94614
MAKKAH,مكة المكرمة,"07 Feb,21  -  13 Feb,21",3218,249105
BURAIDAH,بريدة,"07 Feb,21  -  13 Feb,21",2204,199716
KHOBAR,الخبر,"07 Feb,21  -  13 Feb,21",2045,258422
MADINA,المنورة,"07 Feb,21  -  13 Feb,21",3622,280975
