English_City,Arabic_City,Date,Number of Transactions,Value of Transactions,location_latitude,location_longitude
HAIL,حائل,"17 Jan,21  -  23 Jan,21",1236,115711,26.9920987,41.4892578
HAIL,حائل,06 Dec - 12 Dec,1353,129532,26.9920987,41.4892578
HAIL,حائل,"28 Mar,21  -  03 Apr,21",1934,201039,26.9920987,41.4892578
HAIL,حائل,"04 Jul,21  -  10 Jul,21",1939,154118,26.9920987,41.4892578
HAIL,حائل,"07 Feb,21  -  13 Feb,21",1429,128446,26.9920987,41.4892578
HAIL,حائل,"15 Aug,21  -  21 Aug,21",1718,123519,26.9920987,41.4892578
HAIL,حائل,"01 Aug,21  -  07 Aug,21",1945,144606,26.9920987,41.4892578
HAIL,حائل,09 - 15 Aug,1098,107744,26.9920987,41.4892578
HAIL,حائل,01 Nov - 07 Nov,1352,129315,26.9920987,41.4892578
HAIL,حائل,"19 Sep,21  -  25 Sep,21",1927,139858,26.9920987,41.4892578
HAIL,حائل,25 Oct - 31 Oct,1491,160602,26.9920987,41.4892578
HAIL,حائل,09 - 15 Aug,1098,107744,26.9920987,41.4892578
HAIL,حائل,28 Jun - 4 Jul,1242,190327,26.9920987,41.4892578
HAIL,حائل,"27 Dec,20  -  02 Jan,21",1765,185617,26.9920987,41.4892578
HAIL,حائل,"13 Jun,21  -  19 Jun,21",1711,135462,26.9920987,41.4892578
HAIL,حائل,"23 May,21  -  29 May,21",1842,160677,26.9920987,41.4892578
HAIL,حائل,20 - 26 Sep,1186,121208,26.9920987,41.4892578
HAIL,حائل,20 Dec - 26 Dec,1265,118955,26.9920987,41.4892578
HAIL,حائل,"10 Jan,21  -  16 Jan,21",1470,132196,26.9920987,41.4892578
HAIL,حائل,06 - 12 Sep,1197,116650,26.9920987,41.4892578
HAIL,حائل,"25 Apr,21  -  01 May,21",1796,189689,26.9920987,41.4892578
HAIL,حائل,"29 Aug,21  -  04 Sep,21",2090,162690,26.9920987,41.4892578
HAIL,حائل,18 Oct - 24 Oct,1177,111259,26.9920987,41.4892578
HAIL,حائل,"14 Mar,21  -  20 Mar,21",1599,144263,26.9920987,41.4892578
HAIL,حائل,"11 Apr,21  -  17 Apr,21",1485,138107,26.9920987,41.4892578
HAIL,حائل,"31 Jan,21  -  06 Feb,21",1502,138197,26.9920987,41.4892578
HAIL,حائل,"03 Oct,21  -  09 Oct,21",2109,153335,26.9920987,41.4892578
HAIL,حائل,22 Nov - 28 Nov,1450,154647,26.9920987,41.4892578
HAIL,حائل,"26 Sep,21  -  02 Oct,21",2310,192385,26.9920987,41.4892578
HAIL,حائل,"22 Aug,21  -  28 Aug,21",2096,170800,26.9920987,41.4892578
HAIL,حائل,7 - 13 Jun,946,134782,26.9920987,41.4892578
HAIL,حائل,13 - 19 Sep,1132,109089,26.9920987,41.4892578
HAIL,حائل,"20 Jun,21  -  26 Jun,21",1707,136240,26.9920987,41.4892578
