English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Transportation,المواصلات,2016-01-01,"1,031.1 ",1407471.6
Transportation,المواصلات,2016-02-01,"1,021.0 ",1390994.5
Transportation,المواصلات,2016-03-01,"1,120.9 ",1531077.8
Transportation,المواصلات,2016-04-01,"1,070.8 ",1444012.6
Transportation,المواصلات,2016-05-01,"1,232.4 ",1700633.3
Transportation,المواصلات,2016-06-01,"1,222.9 ",1809134.0
Transportation,المواصلات,2016-07-01,986.7 ,1350244.7
Transportation,المواصلات,2016-08-01,"1,255.8 ",1765493.7
Transportation,المواصلات,2016-09-01,957.0 ,1144742.5
Transportation,المواصلات,2016-10-01,"1,155.9 ",1340019.0
Transportation,المواصلات,2016-11-01,"1,162.2 ",1317730.4
Transportation,المواصلات,2016-12-01,"1,180.0 ",1364873.2
Transportation,المواصلات,2017-01-01,"1,219.8 ",1438214.1
Transportation,المواصلات,2017-02-01,"1,097.1 ",1234039.1
Transportation,المواصلات,2017-03-01,"1,376.0 ",1520568.0
Transportation,المواصلات,2017-04-01,"1,356.0 ",1435736.0
Transportation,المواصلات,2017-05-01,"1,416.6 ",1585346.4
Transportation,المواصلات,2017-06-01,"1,183.8 ",1406979.6
Transportation,المواصلات,2017-07-01,"1,367.6 ",1674537.3
Transportation,المواصلات,2017-08-01,"1,442.7 ",1679047.8
Transportation,المواصلات,2017-09-01,"1,124.8 ",1133823.6
Transportation,المواصلات,2017-10-01,"1,422.3 ",1478798.5
Transportation,المواصلات,2017-11-01,"1,348.7 ",1362277.6
Transportation,المواصلات,2017-12-01,"1,438.7 ",1608316.8
Transportation,المواصلات,2018-01-01,"1,344.1 ",1276285.4
Transportation,المواصلات,2018-02-01,"1,280.6 ",1173236.1
Transportation,المواصلات,2018-03-01,"1,566.0 ",1452878.1
Transportation,المواصلات,2018-04-01,"1,529.9 ",1428019.9
Transportation,المواصلات,2018-05-01,"1,605.6 ",1591663.8
Transportation,المواصلات,2018-06-01,"1,475.0 ",1387634.7
Transportation,المواصلات,2018-07-01,"1,873.6 ",1854102.5
Transportation,المواصلات,2018-08-01,"1,648.3 ",1408420.8
Transportation,المواصلات,2018-09-01,"1,690.3 ",1391715.6
Transportation,المواصلات,2018-10-01,"1,834.3 ",1518906.1
Transportation,المواصلات,2018-11-01,"1,751.8 ",1424041.3
Transportation,المواصلات,2018-12-01,"1,976.8 ",1669803.9
Transportation,المواصلات,2019-01-01,"1,899.1 ",1550703.8
Transportation,المواصلات,2019-02-01,"1,746.7 ",1389410.3
Transportation,المواصلات,2019-03-01,"2,086.4 ",1655389.9
Transportation,المواصلات,2019-04-01,"2,048.7 ",1672051.7
Transportation,المواصلات,2019-05-01,"2,165.6 ",1915379.5
Transportation,المواصلات,2019-06-01,"2,142.2 ",1636422.9
Transportation,المواصلات,2019-07-01,"2,588.2 ",2133472.6
Transportation,المواصلات,2019-08-01,"2,304.0 ",1634392.6
Transportation,المواصلات,2019-09-01,"2,573.9 ",1879081.6
Transportation,المواصلات,2019-10-01,"2,788.4 ",1895700.4
Transportation,المواصلات,2019-11-01,"2,765.1 ",1782993.4
Transportation,المواصلات,2019-12-01,"3,037.4 ",2020525.8
Transportation,المواصلات,2020-01-01,"3,028.6 ",1924317.9
Transportation,المواصلات,2020-02-01,"2,986.0 ",1813561.4
Transportation,المواصلات,2020-03-01,"2,551.9 ",1445158.3
Transportation,المواصلات,2020-04-01,"1,170.7 ",432091.4
Transportation,المواصلات,2020-05-01,"1,972.9 ",1121251.3
Transportation,المواصلات,2020-06-01,"3,693.0 ",2766397.1
Transportation,المواصلات,2020-07-01,"3,912.3 ",1677233.2
