Date,أخرى,الاتصالات,الأثاث,الأجهزة الإلكترونية والكهربائية,الأطعمة والمشروبات,الترفية والثقافة,التعليم,الصحة,الفنادق,المجوهرات,المطاعم والمقاهي,الملابس والأحذية,المنافع العامة,المواصلات,سلع وخدمات متنوعة,مواد التشييد والبناء
01/01/2016,3839.04,212.132,669.622,842.37,9079.251,1358.744,106.805,6088.041,525.738,472.204,5157.764,7033.003,200.472,1031.072,1640.685,435.267
01/02/2016,3528.053,188.838,570.772,820.446,9305.303,1224.407,97.106,6381.794,449.376,401.936,5189.208,5067.576,195.875,1020.972,1566.44,427.577
01/03/2016,3939.081,216.681,633.155,890.796,9808.03,1226.647,93.148,6751.88,585.918,499.762,5999.227,6263.466,222.252,1120.88,1803.095,468.544
01/04/2016,3864.654,218.137,635.593,862.45,10257.824,1187.941,97.959,6619.891,503.14,455.086,6148.923,6380.411,203.36,1070.849,1811.833,464.22
01/05/2016,4679.724,263.325,749.25,1029.475,11356.57,1344.938,114.547,6751.079,551.938,576.297,6741.738,8030.564,249.859,1232.427,2113.435,543.605
01/06/2016,4991.76,234.719,713.432,967.46,11524.81,1395.849,57.757,6536.074,569.206,721.842,5044.406,10712.571,236.078,1222.881,2224.433,450.974
01/07/2016,3872.309,203.568,525.955,752.96,9397.3,1184.989,36.016,5934.12,581.24,595.611,6303.659,7106.437,216.565,986.692,1982.928,371.997
01/08/2016,4247.499,234.623,616.351,895.343,10581.013,1194.856,64.496,6677.046,623.177,462.879,7185.512,7335.521,249.355,1255.831,2152.546,483.282
01/09/2016,4457.514,228.72,597.261,789.698,10310.543,1611.278,187.175,6210.585,460.635,442.903,6838.644,7185.054,223.205,957.026,2178.619,383.361
01/10/2016,4655.95,272.997,668.726,919.959,11863.102,1620.023,109.576,7556.848,514.872,389.378,7466.213,5506.54,290.737,1155.873,2255.494,499.799
01/11/2016,5054.633,310.507,698.886,975.073,11603.749,1414.269,81.366,7421.717,616.992,435.095,8168.699,7591.977,287.844,1162.162,2574.139,533.696
01/12/2016,5348.004,339.388,753.696,996.419,12486.875,1563.252,96.725,7771.392,539.051,517.051,9043.679,8116.688,301.281,1179.985,2540.968,558.749
