English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Clothing and Footwear,الملابس والأحذية,2021-01-23,2922,499637.0
Construction & Building Materials,مواد التشييد والبناء,2021-01-23,707,374972.0
Education,التعليم,2021-01-23,99,406128.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-01-23,597,263635.0
Gas,محطات الوقود,2021-01-23,6531,327767.0
Health,الصحة,2021-01-23,4718,577691.0
Furniture,الأثاث,2021-01-23,666,281680.0
Hotels,الفنادق,2021-01-23,409,154641.0
Public Utilities,المنافع العامة,2021-01-23,566,62663.0
Jewelry,المجوهرات,2021-01-23,149,203617.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-01-23,4642,596022.0
Recreation and Culture,الترفية والثقافة,2021-01-23,1418,287334.0
Restaurants & Café,المطاعم والمقاهي,2021-01-23,21270,982647.0
Beverage and Food,الأطعمة والمشروبات,2021-01-23,18807,1089383.0
Telecommunication,الاتصالات,2021-01-23,272,66671.0
Transportation,المواصلات,2021-01-23,914,394789.0
Other,أخرى,2021-01-23,7807,940436.0
Total,الإجمالي,2021-01-23,72492,7509711.0
Clothing and Footwear,الملابس والأحذية,2022-04-09,5150,956931.0
Construction & Building Materials,مواد التشييد والبناء,2022-04-09,990,321513.0
Education,التعليم,2022-04-09,71,96556.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-04-09,713,252001.0
Gas,محطات الوقود,2022-04-09,10548,611753.0
Health,الصحة,2022-04-09,6433,685792.0
Furniture,الأثاث,2022-04-09,957,323903.0
Hotels,الفنادق,2022-04-09,393,253422.0
Public Utilities,المنافع العامة,2022-04-09,904,75939.0
Jewelry,المجوهرات,2022-04-09,184,201546.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-04-09,12777,1019761.0
Recreation and Culture,الترفية والثقافة,2022-04-09,1800,249624.0
Restaurants & Café,المطاعم والمقاهي,2022-04-09,22727,897207.0
Beverage and Food,الأطعمة والمشروبات,2022-04-09,29163,1521526.0
Telecommunication,الاتصالات,2022-04-09,441,104893.0
Transportation,المواصلات,2022-04-09,1691,557750.0
Other,أخرى,2022-04-09,15445,1509874.0
Total,الإجمالي,2022-04-09,110387,9639991.0
Clothing and Footwear,الملابس والأحذية,2022-02-19,3507,561828.0
Construction & Building Materials,مواد التشييد والبناء,2022-02-19,967,353177.0
Education,التعليم,2022-02-19,111,88718.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-02-19,666,231064.0
Gas,محطات الوقود,2022-02-19,10857,609898.0
Health,الصحة,2022-02-19,6070,653257.0
Furniture,الأثاث,2022-02-19,836,292650.0
Hotels,الفنادق,2022-02-19,459,174808.0
Public Utilities,المنافع العامة,2022-02-19,808,65347.0
Jewelry,المجوهرات,2022-02-19,185,214177.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-02-19,12505,893012.0
Recreation and Culture,الترفية والثقافة,2022-02-19,2079,258885.0
Restaurants & Café,المطاعم والمقاهي,2022-02-19,35367,1319564.0
Beverage and Food,الأطعمة والمشروبات,2022-02-19,28442,1327862.0
Telecommunication,الاتصالات,2022-02-19,362,78484.0
Transportation,المواصلات,2022-02-19,1490,474858.0
Other,أخرى,2022-02-19,14175,1221480.0
Total,الإجمالي,2022-02-19,118885,8819070.0
Clothing and Footwear,الملابس والأحذية,2022-04-02,6437,1104005.0
Construction & Building Materials,مواد التشييد والبناء,2022-04-02,1325,435436.0
Education,التعليم,2022-04-02,140,192662.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-04-02,980,355941.0
Gas,محطات الوقود,2022-04-02,12624,761715.0
Health,الصحة,2022-04-02,7360,841857.0
Furniture,الأثاث,2022-04-02,1552,503897.0
Hotels,الفنادق,2022-04-02,558,248490.0
Public Utilities,المنافع العامة,2022-04-02,1069,96613.0
Jewelry,المجوهرات,2022-04-02,226,220101.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-04-02,16991,1394155.0
Recreation and Culture,الترفية والثقافة,2022-04-02,2654,358524.0
Restaurants & Café,المطاعم والمقاهي,2022-04-02,40717,1623598.0
Beverage and Food,الأطعمة والمشروبات,2022-04-02,37457,2851388.0
Telecommunication,الاتصالات,2022-04-02,534,131262.0
Transportation,المواصلات,2022-04-02,2095,644623.0
Other,أخرى,2022-04-02,20631,2287226.0
Total,الإجمالي,2022-04-02,153351,14051493.0
Construction & Building Materials,مواد التشييد والبناء,2020-12-12,795,397139.0
Education,التعليم,2020-12-12,51,76995.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-12-12,656,280922.0
Gas,محطات الوقود,2020-12-12,6595,319552.0
Health,الصحة,2020-12-12,4888,622994.0
Furniture,الأثاث,2020-12-12,776,349310.0
Hotels,الفنادق,2020-12-12,397,138968.0
Public Utilities,المنافع العامة,2020-12-12,566,67292.0
Jewelry,المجوهرات,2020-12-12,181,218716.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-12-12,4187,662558.0
Recreation and Culture,الترفية والثقافة,2020-12-12,1438,286461.0
Restaurants & Café,المطاعم والمقاهي,2020-12-12,22369,1054448.0
Beverage and Food,الأطعمة والمشروبات,2020-12-12,19851,1192188.0
Telecommunication,الاتصالات,2020-12-12,297,75355.0
Transportation,المواصلات,2020-12-12,1041,425701.0
Other,أخرى,2020-12-12,8448,1085055.0
Total,الإجمالي,2020-12-12,76453,7976889.0
Construction & Building Materials,مواد التشييد والبناء,2021-04-03,995,467391.0
Education,التعليم,2021-04-03,65,130117.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-04-03,823,381735.0
Gas,محطات الوقود,2021-04-03,8732,512107.0
Health,الصحة,2021-04-03,5900,802147.0
Furniture,الأثاث,2021-04-03,1168,487419.0
Hotels,الفنادق,2021-04-03,512,176979.0
Public Utilities,المنافع العامة,2021-04-03,815,96674.0
Jewelry,المجوهرات,2021-04-03,255,332967.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-04-03,7807,995364.0
